"CarPark","Address","Location_Lat","Location_Lng","WeekDays_Rate_1","WeekDays_Rate_2","Saturday_Rate","Sunday_PublicHoliday_Rate","Lot_Avail_ID"
"25 Toa Payoh Lorong 8","25 Lor 8 Toa Payoh, Singapore 319263",1.338557,103.860755,"Daily: $1.30 / 30 Mins","-","-","-","-"
"45 Burghley Drive","45 Burghley Dr, Singapore 559022",1.3597681,103.8596263,"$0.018 /min","$0.018 /min","$0.018 /min","$0.018 /min","-"
"Ang Mo Kio Hub","53 Ang Mo Kio Avenue 3, Singapore 569933",1.3694045,103.848792,"Mon-Fri: $1.20 for 1st hr; $0.60 for sub. ½ hr or part thereof.","-","""Sat, Sun / Ph: $1.30 for 1st hr; $0.65 for sub. ½ hr or part thereof.""","Same as Saturday","-"
"Balestier Plaza","Balestier Rd, Singapore",1.3233048,103.8521903,"Daily: $1.12 per hr","-","-","-","-"
"Balestier Point","279 Balestier Rd, Singapore 329727",1.3227638,103.8520112,"8am-10pm: $1.20 per hr","Aft 10pm: $2 per entry","Same as wkdays","$2 per entry","-"
"Bras Basah Complex","231 Bain Street, Singapore 180231",1.2969076,103.8536035,"7am-5pm: $1 for ½ hr","5pm-1am: $0.50 for ½ hr","Same as wkdays","7am-1am: $0.50 for ½ hr","-"
"Causeway Point","1 Woodlands Square, Singapore 738099",1.43565,103.7854744,"7am-10.30pm: $1.20 for 1st hr or part thereof; $0.60 for sub.½ hr or part thereof.","7am-10.30pm: $1.20 for 1st hr or part thereof; $0.60 for sub. ½ hr or part thereof.","7am-12 midnight: $1.20 for 1st hr or part thereof; $0.60 for sub. ½ hr or part thereof.","Same as Saturday","-"
"Central Place","1 Hougang Street 91, Singapore 538692",1.3758532,103.8792958,"$1.80 for 1st hr; $0.85 for ½ hr","$1.80 for 1st hr; $0.85 for ½ hr","$1.80 for 1st hr; $0.85 for ½ hr","$2.50 per entry","-"
"City Square Mall","180 Kitchener Rd, Singapore 208539",1.3114724,103.8566701,"7am-6pm: $1.20 for 1st hr; $0.60 for sub. 30 mins or part thereof.","6pm-3.30am: $3 per entry.","7am-6pm: $1.40 for 1st hr; $0.70 for sub. 30 mins; 6pm-3.30am: $3.50 per entry.","Same as Saturday","-"
"Compass Point","1 Sengkang Square, Singapore 545078",1.3920529,103.8950653,"Daily(7am-11pm): $1.20 for 1st hr or part thereof; $0.60 for sub. ½ hr or part thereof.","-","-","-","-"
"Goldhill Plaza","Goldhill Plaza, Singapore",1.3178172,103.8434145,"7am-5.30pm: $1.60 for 1st hr; $1 for sub. ½ hr","5.30pm-12am: $2 per entry","7am-5.30pm: $1 per hr; Aft 5.30pm: $2 per entry","Same as Saturday","-"
"Heartland Mall","205 Hougang Street 21, Singapore 530205",1.3595839,103.8852768,"7am-10.30pm: $1 per hr","Aft 10.30pm: $2 per hr","Same as wkdays","Same as wkdays","-"
"Hindoo Road Off-Street","Hindoo Rd, Singapore",1.3079731,103.8547067,"Daily: 0700-0700: $0.50 / 30 mins (Per Minute Charging)","-","-","-","-"
"Hougang Green Shopping Mall","21 Hougang Street 51, Singapore 538719",1.3792309,103.8878695,"7am-5pm: $1.07 for 1st hr; $0.55 for sub. ½ hr","Aft 5pm: $1.20 per entry","Same as wkdays","7am-12am: $2.15 per entry; Aft 12am: $1.20 per entry","-"
"Hougang Mall","90 Hougang Ave 10, Singapore 538766",1.372469,103.8937803,"1st hr: $1.20;  2nd hr: $0.70 per ½ hr; 3rd hr onwards: $1 per ½ hr","1st hr: $1.20;  2nd hr: $0.70 per ½ hr; 3rd hr onwards: $1 per ½ hr","1st hr: $1.30;  2nd hr: $0.70 per ½ hr; 3rd hr onwards: $1 per ½ hr","Same as Saturday","-"
